MnY,Mpips,
Jan-14,365,365
Feb-14,425,790
Mar-14,282,1072
Apr-14,349,1421
May-14,275,1696
Jun-14,168,1864
Jul-14,155,2019
Aug-14,163,2182
Sep-14,340,2522
Oct-14,545,3067
Nov-14,240,3307
Dec-14,257,3564
Jan-15,228,3792
Feb-15,280,4072
Mar-15,220,4292
Apr-15,330,4622
May-15,248,4870
Jun-15,213,5083
Jul-15,786,5869
Aug-15,53,5922
Sep-15,658,6580
Oct-15,80.3,6660.3
Nov-15,239.4,6899.7
Dec-15,-51,6848.7
Jan-16,494,7342.7
Feb-16,-154,7188.7
Mar-16,211,7399.7
Apr-16,302,7701.7
May-16,99,7800.7
Jun-16,-218,7582.7
Jul-16,700,8282.7
Aug-16,440,8722.7
Sep-16,380,9102.7
Oct-16,807,9909.7
Nov-16,413,10322.7
Dec-16,542,10864.7
Jan-17,166,11030.7
Feb-17,636,11666.7
Mar-17,719,12385.7
Apr-17,511,12896.7
May-17,294,13190.7
Jun-17,321,13511.7
Jul-17,211,13722.7
Aug-17,110,13832.7
Sep-17,414,14246.7
Oct-17,-178,14068.7
Nov-17,209,14277.7
Dec-17,0,14277.7
Jan-18,-233,14044.7
Feb-18,144,14188.7
Mar-18,87,14275.7
Apr-18,339,14614.7
May-18,148,14762.7
Jun-18,231,14993.7
Jul-18,-367,14626.7
